campaign,campaign_sha256,evaluator,evaluator_sha256,created_at,backend,model,config_path,config_sha256_at_audit,config_sha256_at_run,config_hash_status,source_run_file,source_run_sha256,source_run_created_at,benchmark,task_id,method,prediction_stage,ground_truth_method,ground_truth_api_norms,predicted_final_apis,gt_count,pred_count,true_positive_count,precision,recall,f1,exact_set_match,api_bearing_task,included_in_api_quality,exclusion_reason,source_record_sha256
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.593604+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,Baseline RAG,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_string,reverse;is_string;InvalidInputError;InvalidInputError.__init__,2,4,2,0.5,1.0,0.6666666666666666,0.0,True,True,,03371b0095cbc93703faa58cf50344f5a6513873aea469b5fed186394d8398a6
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.597876+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,OpenCoder-NoUncFilter,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_string,reverse;is_string;InvalidInputError.__init__;InvalidInputError,2,4,2,0.5,1.0,0.6666666666666666,0.0,True,True,,4ed6440284ca6275da61779037760e19db3104932324fd82d789d2b292999c10
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.599994+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,OpenCoder-NoAPIRefine,post_uncertainty_filter_pre_api_refinement,static_ast_repo_alias_match,invalidinputerror;is_string,reverse;is_string;InvalidInputError.__init__;InvalidInputError,2,4,2,0.5,1.0,0.6666666666666666,0.0,True,True,,f180b79c60811ec9a083af0b4e643acb8eda602c7b9e53c31e0ff08d107b0dc9
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.602246+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,OpenCoder,post_target_aware_refinement,static_ast_repo_alias_match,invalidinputerror;is_string,is_string;InvalidInputError,2,2,2,1.0,1.0,1.0,1.0,True,True,,a6b8955d27d8893dcdef1e82c30d6f7189ffb9f137285dabc6123be7b3f4bc55
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.602261+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,ContextOnly,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_string,,2,0,0,0.0,0.0,0.0,0.0,True,True,,5d85cd9dc4878dd4fb3352236d448ef9f256968acd5135a60fb0b06a73915f94
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.602279+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/0,API-informed reference,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_string,InvalidInputError;is_string,2,2,2,1.0,1.0,1.0,1.0,True,True,,65faaea87a751f75ca03e70bbb33e4ee5316574395eeb5fb90512e5e8ea3b2dd
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.611641+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/1,Baseline RAG,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_camel_case;is_string,camel_case_to_snake;is_camel_case;is_string;InvalidInputError;InvalidInputError.__init__,3,5,3,0.6,1.0,0.7499999999999999,0.0,True,True,,0a7d8f59d3faa4471648ba334d059bc88c493d75c734b9d2abd3d15e57f3e974
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.615388+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/1,OpenCoder-NoUncFilter,method_final_api_set,static_ast_repo_alias_match,invalidinputerror;is_camel_case;is_string,InvalidInputError.__init__;camel_case_to_snake;InvalidInputError;is_camel_case;is_string,3,5,3,0.6,1.0,0.7499999999999999,0.0,True,True,,4b782ce8475cbd3dd8e8f7d06fb5a9ab425389715edfd4137449fda03ac7a248
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.623849+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/1,OpenCoder-NoAPIRefine,post_uncertainty_filter_pre_api_refinement,static_ast_repo_alias_match,invalidinputerror;is_camel_case;is_string,InvalidInputError.__init__;camel_case_to_snake;InvalidInputError;is_camel_case;is_string,3,5,3,0.6,1.0,0.7499999999999999,0.0,True,True,,27f3f7ca295b35688e8fd2eee7aecb8d33bcf7ce6501dfe854e05137b3dcded1
authoritative_corrected_rq4,9130a107227510ff7cc6d089012a27cd113f5284b1ee194c7af73d07a2c906d5,experiments/run_rq4.py,60ac2f82bd94fbe0a6e7f1bb836011011e219ead0aa615f1a3d2205a0b78e332,2026-07-14T15:54:45.628816+00:00,GPT,gpt-4o-mini,configs/rq3/gpt4o_mini.yaml,61dc096dfc5777d6e4d94a7e580983aa6542bb31a35d3660eefc070376f9a0a1,,not_recorded_in_campaign,results/rq3/runs/repoexec_inline14_gpt/rq3.json,b16fdc7ef6db5527762a16379ab6b8ec846c32bff2d783660bb799a77b776e0f,2026-07-04T08:29:36.568570+00:00,RepoExec,test-apps/python-string-utils/1,OpenCoder,post_target_aware_refinement,static_ast_repo_alias_match,invalidinputerror;is_camel_case;is_string,InvalidInputError;is_camel_case;is_string,3,3,3,1.0,1.0,1.0,1.0,True,True,,8c14f92c1df213228c37fdf86c27ab5de82ea5813b39e3cd66383b2dcc10fc46
